f6b0436,kelly330,4 days ago,Add files via upload
91a8d5c,kelly330,4 days ago,Add files via upload
ff67e5e,kelly330,4 days ago,Update README.md
350bd5b,kelly330,4 days ago,Update README.md
6202548,kelly330,4 days ago,Update README.md
7a194a8,kelly330,4 days ago,Add files via upload
b4d0e72,Yunlu Wen,8 days ago,Merge pull request #14 from wylswz/chat-ui
2e97ddb,yunlu,8 days ago,fix - senderId/receiverId in Message model
11da65b,yunlu,8 days ago,default avatar
5d21bc3,Yunlu Wen,9 days ago,Merge pull request #13 from wylswz/chat-ui
89cef3d,yunlu,9 days ago,Toast for debug
744010e,yunlu,9 days ago,Delete messages when deleting dialog
0bd4bb2,kelly330,2 weeks ago,Update README.md
d920b6c,kelly330,2 weeks ago,Update build.gradle
fc93417,kelly330,2 weeks ago,Add files via upload
581acb3,kelly330,2 weeks ago,Update build.gradle
94cec93,Yunlu Wen,2 weeks ago,Merge pull request #11 from wylswz/chat-ui
e887b19,yunlu,2 weeks ago,debug setup
b230ae0,yunlu,2 weeks ago,resolve
181ac3b,yunlu,2 weeks ago,debug setup
3a42f16,yunlu,2 weeks ago,Toolbar fixed
076c89f,yunlu,2 weeks ago,Theme tweak + comment
e3c6fda,yunlu,2 weeks ago,Adjust code structure
0ef4211,yunlu,2 weeks ago,debug setup
491336d,Yunlu Wen,2 weeks ago,Merge pull request #10 from wylswz/database
7c88822,Yunlu Wen,2 weeks ago,Merge pull request #8 from kelly330/patch-1
606e20c,Yunlu Wen,2 weeks ago,Merge pull request #9 from wylswz/chat-ui
e0b6b02,yunlu,2 weeks ago,Toolbar fixed
99e5608,kelly330,2 weeks ago,Update build.gradle
652f6d2,Yunlu Wen,2 weeks ago,Merge pull request #7 from wylswz/chat-ui
a358f15,yunlu,2 weeks ago,Theme tweak + comment
fe106e8,yunlu,2 weeks ago,Adjust code structure
ae25183,Yunlu Wen,2 weeks ago,Merge pull request #6 from wylswz/chat-ui
77e7142,yunlu,2 weeks ago,Layout adjusted
686e649,Yunlu Wen,2 weeks ago,Merge pull request #5 from wylswz/chat-ui
0a0c843,yunlu,2 weeks ago,None
18c1dfe,yunlu,2 weeks ago,gitignore
